Num_Occupants,House_Area (sqft),Appliance_Score,Connected_Load(kw),Temperature_C,Humidity (%),Expected_Energy(kwh),Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage,Month,Year,Region_Code_IN_KL_ALP,Region_Code_IN_KL_ERN,Region_Code_IN_KL_TVM,Dwelling_Type_Apartment,Dwelling_Type_Independent House,Dwelling_Type_Villa
2,1.1081942604249877,6,1.22587002778621,-0.10879470913872852,1.6339739655139076,-1.036012422519375,0.31913330214789065,1.4608909744869243,0.22874624137029173,1,1,2023,0,0,1,0,1,0
3,0.8780101976666295,9,1.7238421136935906,-1.0330491337928225,-1.389365442910071,-0.39537183104896256,-0.5167765684958419,-0.37164506242958045,2.110314741120058,0,1,2023,1,0,0,0,1,0
3,1.0601804068434897,16,0.10058245703446675,0.4898416255288282,-1.5747342667426294,0.30445838028556477,-0.5931845598719377,-0.9349306731281655,0.9693636295696716,0,1,2023,0,0,1,1,0,0
1,1.5727989024341895,18,0.06177943735337242,-2.205274257744356,-0.5451975597289368,-1.0743115883138017,0.581786984268055,1.9127084564192987,-0.33172097132113165,1,1,2023,0,1,0,1,0,0
4,1.01075438109783,10,-1.5032756897841093,0.23936617169303048,1.0883108080349688,-0.7888087160280749,-1.0592733072661222,-0.8234625443619548,-0.6920213223370446,0,1,2023,0,1,0,0,1,0
2,1.168917663483941,18,1.0512564392212846,-0.3768034447430322,-0.3137040989802963,0.2487505027663984,-0.46329097453257495,-0.7491504585178143,-0.6920213223370446,0,1,2023,0,1,0,0,1,0
5,1.5784475910908362,20,-0.41679113871346096,-0.04868060021813657,0.7097406748557998,1.1609669971427459,-0.18249160622542235,1.2461290463973584,0.22874624137029173,1,1,2023,0,0,1,0,1,0
6,1.5233728766885297,17,-0.11283415121155352,0.6526506705220972,-1.4781336120693238,1.589221305571337,1.7561260241784258,0.6991920945844842,-0.6119545776668434,1,1,2023,1,0,0,1,0,0
5,-0.08367904612749304,17,0.7214307719319801,-1.791989758915289,0.008298083264053398,0.5481803444319171,-0.07934081786769316,-0.4950031249308537,-0.6920213223370446,0,1,2023,0,1,0,0,1,0
1,-1.6709605586452518,12,0.6179560527823945,1.2011919144224938,0.4356036818639891,-0.5764224329862528,-0.7899351376653844,-0.6027556494048575,0.22874624137029173,0,1,2023,0,0,1,0,1,0
3,1.0587682346793281,10,-1.7813639974986206,0.2568994534615364,-1.0708443653386324,-1.2866978713556236,-1.299958480100824,-0.7989395560333883,-0.6920213223370446,1,1,2023,0,1,0,0,1,0
2,0.33008739797188713,20,-0.05462962168991116,-0.11881372729216022,0.6479510669116143,0.1373347477280657,-0.19586300471623916,-0.3575257661191938,-0.9922716148503031,0,1,2023,0,1,0,0,0,1
6,0.9119023296065105,18,-0.7983541655775577,-0.061204372909926634,-0.6330954527199625,1.1435582854180062,0.30460933879718793,-0.44484246698605884,2.110314741120058,0,1,2023,1,0,0,0,1,0
6,1.4810077117636784,8,-1.412735310528222,-0.10378520006201268,0.029184711301525543,-0.3292187264949527,-0.48048277259219646,-0.3746175458633461,2.110314741120058,0,1,2023,1,0,0,0,1,0
5,-0.8744954580580491,8,-0.830690015311803,1.148592069116976,1.1648951108390302,-0.015861915449642106,-0.7001557477984717,-0.8171460170652028,-0.6920213223370446,0,1,2023,0,1,0,0,1,0
4,0.7579755637128844,10,-0.34565226929812065,0.03898580862439211,-0.9446543209455768,-0.37796311932422283,-0.2894627941519569,-0.08442885064197743,-0.9922716148503031,0,1,2023,0,1,0,0,0,1
1,1.3355539788550226,15,-0.15163717089264786,-1.4012480509314449,1.6304928608409952,-1.2414352208713009,-0.0019316529244576565,1.2282941457947645,-0.6119545776668434,1,1,2023,1,0,0,1,0,0
2,0.6520626514007564,8,0.31399906528048704,0.3971657076095828,-1.3397597013210765,-1.0290489378294794,-1.154783296486242,-0.7811046554307945,-0.33172097132113165,0,1,2023,0,1,0,1,0,0
6,1.4810077117636784,8,-1.412735310528222,-0.532098226121227,0.24501320102206198,-0.46500667794792017,-0.8204983342158227,-0.72574215147691,2.110314741120058,0,1,2023,1,0,0,0,1,0
2,-1.13998382492045,21,0.7278979418788296,-1.2108867060162383,0.3024514281251091,0.1721521711775439,0.5921828759168203,0.5591138127682794,-0.33172097132113165,1,1,2023,0,1,0,1,0,0
5,1.1957489346030137,15,0.8055039812410183,0.4798226073753965,0.8794445276602548,1.2549740404563388,0.6178821034391809,-0.19441073769130535,-0.9922716148503031,1,1,2023,0,1,0,0,0,1
2,1.1110186047533113,13,0.9154458703374535,0.9682497423552019,0.8185251958842965,0.022437250344784533,1.7207121838623831,2.075080363988746,2.110314741120058,1,1,2023,1,0,0,0,1,0
1,-1.0905577991747903,12,0.5662186932076022,0.11913795385184746,0.7784924921458103,-0.8932609863765113,-0.18249160622542235,-0.7246274701892478,0.22874624137029173,1,1,2023,0,0,1,0,1,0
4,-0.25878839448354474,9,-1.5744145591994494,0.19177583546422858,0.9386233070997576,-0.9559323485855733,0.00804042275565832,0.8953760012130151,-1.512705455206626,1,1,2023,0,0,1,0,0,1
6,0.7226712596088417,18,-1.0635081333983707,-0.2891370359005026,-0.15879494103571695,0.9450989717559772,-0.023945024120023854,-0.6714943288106874,0.22874624137029173,0,1,2023,0,0,1,0,1,0
3,-1.0834969383539816,7,1.6009658847034576,0.27693748976839977,0.7689194542953026,-0.2665473642858907,-0.18249160622542235,1.9836764984004527,-0.6920213223370446,1,1,2023,0,1,0,0,1,0
5,1.3313174623625375,11,1.1417968184771716,-0.09126142737022261,1.0769972178480045,0.6804865535399368,1.4741921966771747,1.1257434673298508,2.110314741120058,1,1,2023,1,0,0,0,1,0
